iter	RMSE
0	0.3700609777
1	0.3674116654
2	0.3647263251
3	0.3622106726
4	0.3597511504
5	0.3574745001
6	0.3551934725
7	0.3530981341
8	0.3511504482
9	0.34897093
10	0.346943859
11	0.3451202468
12	0.3433768924
13	0.3410179981
14	0.3388424752
15	0.336617363
16	0.3344261355
17	0.3323744775
18	0.3305118248
19	0.3287012408
20	0.327016835
21	0.325368433
22	0.3238438682
23	0.3223368691
24	0.3208645308
25	0.319468843
26	0.3182133494
27	0.3169093803
28	0.3157571278
29	0.3146071387
30	0.3134307225
31	0.3123240207
32	0.3114157149
33	0.3104220782
34	0.3093596324
35	0.3084972917
36	0.3076078551
37	0.3070467366
38	0.3061766639
39	0.3053953537
40	0.3046646136
41	0.3040786614
42	0.3033514957
43	0.3026717254
44	0.3021413398
45	0.3015969679
46	0.3009834745
47	0.3004420387
48	0.2998409665
49	0.2994301689
50	0.2989519368
51	0.2984362208
52	0.2980040313
53	0.2975494672
54	0.2970885218
55	0.2966908908
56	0.2962904722
57	0.2958598306
58	0.2955327958
59	0.2951459409
60	0.2948663333
61	0.2944847245
62	0.2941225155
63	0.2938392566
64	0.2935735169
65	0.2933198625
66	0.2930328329
67	0.2927391381
68	0.2922846514
69	0.29184041
70	0.2915655397
71	0.2911591025
72	0.2908073283
73	0.2904580784
74	0.2901582098
75	0.289867294
76	0.2896169216
77	0.2893507876
78	0.2891000625
79	0.2888638961
80	0.2886193224
81	0.2883403576
82	0.2880015602
83	0.287764289
84	0.2874673284
85	0.2871953714
86	0.2870033002
87	0.2867954503
88	0.2865352783
89	0.286246823
90	0.2859254608
91	0.2856882115
92	0.2854901225
93	0.2852254738
94	0.2850658423
95	0.284911739
96	0.2847079231
97	0.2845499689
98	0.2844904613
99	0.2844286415
100	0.2842207532
101	0.2840552666
102	0.2839250971
103	0.2837472755
104	0.2835795969
105	0.2834251159
106	0.2832754485
107	0.283002828
108	0.2828630578
109	0.2827587393
110	0.2826735937
111	0.2824954154
112	0.2823681205
113	0.2822763664
114	0.2821876875
115	0.2820986871
116	0.2819973816
117	0.2817878048
118	0.28167144
119	0.2814762283
120	0.2813175882
121	0.2811653443
122	0.2810353138
123	0.2808739466
124	0.2807366632
125	0.2805920044
126	0.2804377849
127	0.2803557309
128	0.2802419102
129	0.2801050172
130	0.2799884014
131	0.2798672285
132	0.279730566
133	0.2797239234
134	0.2796519249
135	0.2795143216
136	0.2795002844
137	0.2794428191
138	0.2793200624
139	0.2792101158
140	0.2791443861
141	0.2790574772
142	0.279017147
143	0.279001599
144	0.27891995
145	0.2787679117
146	0.2786172542
147	0.2785599354
148	0.2784658383
149	0.2783417327
150	0.278279027
151	0.2782093183
152	0.2782030119
153	0.2780993073
154	0.2780096653
155	0.2779309187
156	0.2779023019
157	0.277814249
158	0.2777513897
159	0.2776476222
160	0.2776426809
161	0.277489345
162	0.2774047562
163	0.2772538289
164	0.2771522976
165	0.277016244
166	0.2769060929
167	0.2767655198
168	0.2766328676
169	0.2765531583
170	0.2764417446
171	0.2763698164
172	0.276224814
173	0.2761432102
174	0.276120976
175	0.2760801851
176	0.2759675661
177	0.2759597796
178	0.2758816213
179	0.2758084368
180	0.2757051823
181	0.2755750397
182	0.2754903605
183	0.2753919329
184	0.2753038316
185	0.2752036553
186	0.2750911792
187	0.2750653216
188	0.2749733358
189	0.2749087132
190	0.2747993857
191	0.274723416
192	0.274633231
193	0.2745320345
194	0.2744772806
195	0.2743468997
196	0.2742675995
197	0.2741976364
198	0.274126172
