iter	Passed	Remaining
0	272	326615
1	436	261297
2	578	230917
3	706	211202
4	777	185872
5	849	168993
6	955	162896
7	1056	157378
8	1157	153154
9	1268	150974
10	1377	148945
11	1482	146788
12	1579	144262
13	1694	143542
14	1800	142223
15	1909	141299
16	2018	140475
17	2119	139165
18	2225	138354
19	2338	137993
20	2446	137367
21	2547	136426
22	2642	135237
23	2756	135053
24	2851	134040
25	2953	133381
26	3063	133076
27	3192	133643
28	3327	134355
29	3455	134754
30	3552	133946
31	3659	133580
32	3777	133602
33	3891	133469
34	3979	132460
35	4079	131907
36	4206	132229
37	4242	129717
38	4352	129563
39	4455	129197
40	4574	129309
41	4619	127370
42	4732	127346
43	4846	127341
44	4958	127259
45	5052	126744
46	5171	126872
47	5296	127112
48	5405	126966
49	5480	126061
50	5592	125998
51	5716	126197
52	5832	126232
53	5923	125715
54	6019	125320
55	6126	125145
56	6234	125020
57	6332	124684
58	6438	124514
59	6539	124242
60	6600	123241
61	6714	123239
62	6823	123154
63	6935	123103
64	7033	122817
65	7141	122712
66	7279	123093
67	7410	123355
68	7509	123089
69	7615	122932
70	7641	121511
71	7750	121423
72	7867	121457
73	7962	121165
74	8053	120802
75	8166	120774
76	8281	120776
77	8378	120515
78	8489	120462
79	8583	120166
80	8676	119860
81	8786	119792
82	8900	119786
83	8984	119360
84	9081	119130
85	9178	118896
86	9284	118777
87	9395	118723
88	9496	118542
89	9600	118404
90	9690	118095
91	9800	118032
92	9906	117913
93	9999	117651
94	10092	117391
95	10204	117348
96	10307	117206
97	10398	116934
98	10430	115999
99	10459	115051
100	10551	114809
101	10651	114658
102	10756	114559
103	10866	114518
104	10958	114286
105	11057	114123
106	11169	114096
107	11270	113958
108	11355	113658
109	11467	113628
110	11576	113579
111	11684	113510
112	11790	113415
113	12206	116287
114	12476	117716
115	12619	117930
116	12722	117766
117	12870	118012
118	12975	117871
119	13079	117718
120	13194	117664
121	13304	117556
122	13418	117494
123	13544	117528
124	13673	117592
125	13780	117465
126	13885	117315
127	13997	117228
128	14122	117250
129	14239	117200
130	14357	117159
131	14461	117009
132	14587	117028
133	14606	116194
134	14726	116173
135	14836	116070
136	14872	115398
137	14987	115342
138	15084	115142
139	15197	115066
140	15301	114922
141	15414	114851
142	15535	114833
143	15571	114193
144	15688	114147
145	15804	114097
146	15914	114000
147	16020	113873
148	16133	113801
149	16240	113685
150	16349	113581
151	16461	113498
152	16483	112800
153	16607	112801
154	16725	112763
155	16842	112717
156	16955	112639
157	17061	112519
158	17171	112425
159	17288	112372
160	17320	111774
161	17433	111702
162	17549	111650
163	17669	111617
164	17785	111562
165	17882	111391
166	17994	111307
167	18102	111201
168	18222	111169
169	18356	111216
170	18489	111262
171	18611	111234
172	18728	111178
173	18851	111158
174	18888	110629
175	18990	110488
176	19103	110410
177	19150	109952
178	19272	109926
179	19389	109871
180	19523	109914
181	19649	109906
182	19858	110363
183	20001	110445
184	20134	110468
185	20279	110556
